series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	sle	sle_control	sample_class
2014	51	84991	GSM521772	GPL1291	GSE17755	sle		1
2014	51	84992	GSM521773	GPL1291	GSE17755	sle		1
2014	51	84993	GSM521774	GPL1291	GSE17755	sle		1
2014	51	84994	GSM521775	GPL1291	GSE17755	sle		1
2014	51	84995	GSM521776	GPL1291	GSE17755	sle		1
2014	51	84996	GSM521777	GPL1291	GSE17755	sle		1
2014	51	84997	GSM521778	GPL1291	GSE17755	sle		1
2798	51	114570	GSM443350	GPL1291	GSE20864	sle		1
2798	51	114571	GSM443351	GPL1291	GSE20864	sle		1
2798	51	114572	GSM443352	GPL1291	GSE20864	sle		1
2798	51	114573	GSM443353	GPL1291	GSE20864	sle		1
2798	51	114574	GSM443354	GPL1291	GSE20864	sle		1
2798	51	114575	GSM443355	GPL1291	GSE20864	sle		1
2798	51	114576	GSM443356	GPL1291	GSE20864	sle		1
2798	51	114577	GSM443357	GPL1291	GSE20864	sle		1
2798	51	114578	GSM443358	GPL1291	GSE20864	sle		1
2798	51	114579	GSM443359	GPL1291	GSE20864	sle		1
2798	51	114580	GSM443361	GPL1291	GSE20864	sle		1
2798	51	114581	GSM443427	GPL1291	GSE20864		sle_control	0
2798	51	114582	GSM443428	GPL1291	GSE20864		sle_control	0
2798	51	114583	GSM443429	GPL1291	GSE20864		sle_control	0
2798	51	114584	GSM443430	GPL1291	GSE20864		sle_control	0
2798	51	114585	GSM443431	GPL1291	GSE20864		sle_control	0
2798	51	114586	GSM443432	GPL1291	GSE20864		sle_control	0
2798	51	114587	GSM443433	GPL1291	GSE20864		sle_control	0
2798	51	114588	GSM443434	GPL1291	GSE20864		sle_control	0
2798	51	114589	GSM443435	GPL1291	GSE20864		sle_control	0
2798	51	114590	GSM443436	GPL1291	GSE20864		sle_control	0
2798	51	114591	GSM443437	GPL1291	GSE20864		sle_control	0
2798	51	114592	GSM443438	GPL1291	GSE20864		sle_control	0
